CaseID;Activity;Resource;StartTimestamp;CompleteTimestamp;Variant;VariantIndex;Column6
BZ-06-0501-001;Register appeal;Person A;2006/10/24 00:00:00.000;2006/11/21 00:00:00.000;Variant 4;4;Schoolbus
BZ-06-0501-001;Confirm reception;Person A;2006/11/21 00:00:00.000;2007/01/09 00:00:00.000;Variant 4;4;Schoolbus
BZ-06-0501-001;Register receipt of documents;Person C;2007/01/09 00:00:00.000;2007/01/09 00:00:00.000;Variant 4;4;Schoolbus
BZ-06-0501-001;Result hearing / Write advice;Person C;2007/01/09 00:00:00.000;2007/01/09 00:00:00.000;Variant 4;4;Schoolbus
BZ-06-0501-001;Withdraw appeal;Person C;2007/01/09 00:00:00.000;2007/01/09 00:00:00.000;Variant 4;4;Schoolbus
BZ-06-0501-001;Archive;Person A;2007/01/09 00:00:00.000;2007/06/15 00:00:00.000;Variant 4;4;Schoolbus
BZ-06-0507-001;Register appeal;Person A;2006/10/30 00:00:00.000;2006/11/21 00:00:00.000;Variant 4;4;Rejected building permit
BZ-06-0507-001;Confirm reception;Person A;2006/11/21 00:00:00.000;2006/11/21 00:00:00.000;Variant 4;4;Rejected building permit
BZ-06-0507-001;Register receipt of documents;Person D;2006/12/13 00:00:00.000;2006/12/13 00:00:00.000;Variant 4;4;Rejected building permit
BZ-06-0507-001;Result hearing / Write advice;Person D;2006/12/13 00:00:00.000;2006/12/13 00:00:00.000;Variant 4;4;Rejected building permit
BZ-06-0507-001;Withdraw appeal;Person D;2006/12/13 00:00:00.000;2007/01/09 00:00:00.000;Variant 4;4;Rejected building permit
BZ-06-0507-001;Archive;Person A;2007/02/12 00:00:00.000;2007/06/18 00:00:00.000;Variant 4;4;Rejected building permit
BZ-06-0508-001;Register appeal;Person A;2006/10/30 00:00:00.000;2006/11/21 00:00:00.000;Variant 1;1;Liquor permit
BZ-06-0508-001;Confirm reception;Person A;2006/12/22 00:00:00.000;2006/12/22 00:00:00.000;Variant 1;1;Liquor permit
BZ-06-0508-001;Register receipt of documents;Person I;2007/01/04 00:00:00.000;2007/01/04 00:00:00.000;Variant 1;1;Liquor permit
BZ-06-0508-001;Result hearing / Write advice;Person I;2007/01/04 00:00:00.000;2007/01/19 00:00:00.000;Variant 1;1;Liquor permit
BZ-06-0508-001;Send advice;Person I;2007/01/19 00:00:00.000;2007/01/26 00:00:00.000;Variant 1;1;Liquor permit
BZ-06-0508-001;Create dossier;Person I;2007/01/26 00:00:00.000;2007/02/14 00:00:00.000;Variant 1;1;Liquor permit
BZ-06-0508-001;Process decision;Person I;2007/02/14 00:00:00.000;2007/02/14 00:00:00.000;Variant 1;1;Liquor permit
BZ-06-0508-001;Archive;Person I;2007/06/18 00:00:00.000;2008/09/08 00:00:00.000;Variant 1;1;Liquor permit
