log name	#cases	#events	#event types	native(ms)	sorted(ms)	nested(ms)	actual#rels	sorted#rels
experiment_1_0	0	0	0	31	0	1	0	0
experiment_1_23	1000	2855	1	32	15	43	1	1
experiment_1_43	1000	4748	2	15	0	151	4	4
experiment_1_51	1000	6366	3	0	15	344	9	9
experiment_1_68	1000	10870	8	15	0	1189	44	44
experiment_1_75	1000	16560	13	15	16	2643	90	90
experiment_1_80	1000	20904	23	16	15	5085	186	186
experiment_1_92	1000	24349	30	0	16	6575	267	267
experiment_1_96	1000	29496	43	16	16	11769	445	445
experiment_1_100	1000	132821	535	62	78	1237251	23200	728
experiment_1_113	1000	147192	547	81	100	1362490	25426	923
experiment_1_126	1000	162911	557	100	93	1987634	21710	854
